carrier,origin,dest,air_time,distance,Maximum,Minimum,Average,Departure,Precipitation,New Snow,Snow Depth,days_in_365,sched_time_in_min,Precipitation Binary,New Snow Binary,Snow Depth Binary,delay_class
UA,EWR,PBI,0.1748148148148148,0.1923312257801346,0.7962962962962963,0.8200000000000001,0.8116883116883117,0.4553376906318083,0.00374064837905235,0.0,0.0,0.631868131868132,0.7063213345039508,yes,no,no,yes
UA,EWR,BOS,0.027407407407407353,0.0244748113399959,0.7592592592592592,0.7866666666666666,0.775974025974026,0.36819172113289755,0.19201995012468825,0.0,0.0,0.6085164835164836,0.7001755926251098,yes,no,no,yes
WN,LGA,MKE,0.1311111111111111,0.13930246787681005,0.5555555555555556,0.6400000000000001,0.5974025974025974,0.2091503267973856,0.830423940149626,0.0,0.0,0.4313186813186813,0.679982440737489,yes,no,no,yes
AA,LGA,ORD,0.1644444444444444,0.13389761370589431,0.16666666666666663,0.17333333333333334,0.16558441558441556,0.261437908496732,0.0,0.0,0.0,0.004120879120879051,0.6496927129060579,no,no,no,yes
UA,EWR,LAX,0.43407407407407406,0.45145829084234135,0.3580246913580247,0.4266666666666667,0.3896103896103897,0.690631808278867,0.0,0.0,0.0,0.0329670329670329,0.6128182616330113,yes,no,no,yes
UA,LGA,ORD,0.1281481481481481,0.1331837650418111,0.9074074074074073,0.86,0.8896103896103896,0.5490196078431372,0.0024937655860349,0.0,0.0,0.5,0.7901668129938542,yes,no,no,yes
B6,JFK,ABQ,0.3133333333333333,0.3561085049969406,0.8271604938271604,0.8333333333333334,0.8344155844155844,0.4999999999999999,0.0,0.0,0.0,0.5123626373626374,0.7963125548726953,no,no,no,yes
DL,JFK,ATL,0.14296296296296296,0.1386905975933102,0.5617283950617283,0.4333333333333334,0.5,0.4607843137254901,0.0,0.0,0.0,0.2939560439560439,0.733099209833187,no,no,no,yes
DL,LGA,MSP,0.22888888888888886,0.2321027942076279,0.2716049382716049,0.28,0.2727272727272727,0.3180827886710239,0.0623441396508728,0.4696969696969697,0.1,0.1813186813186813,0.733099209833187,yes,yes,yes,yes
WN,LGA,BNA,0.1325925925925926,0.1368549867428105,0.2716049382716049,0.28,0.2727272727272727,0.3180827886710239,0.0623441396508728,0.4696969696969697,0.1,0.1813186813186813,0.6189640035118525,yes,yes,yes,yes
B6,EWR,FLL,0.15999999999999998,0.18784417703446865,0.8148148148148147,0.7866666666666666,0.8051948051948052,0.4793028322440087,0.0,0.0,0.0,0.6620879120879122,0.4262510974539069,no,no,no,yes
UA,EWR,LAX,0.4044444444444444,0.4841933510095859,0.9135802469135802,0.88,0.9025974025974026,0.55119825708061,0.0,0.0,0.0,0.5370879120879122,0.7932396839332747,no,no,no,yes
DL,JFK,SEA,0.44888888888888884,0.4776667346522537,0.9259259259259258,0.9133333333333334,0.9253246753246753,0.6318082788671023,0.0,0.0,0.0,0.543956043956044,0.7001755926251098,no,no,no,yes
EV,EWR,ORF,0.0659259259259259,0.05986130940240665,0.4320987654320987,0.48,0.4545454545454545,0.3507625272331154,0.0,0.0,0.0,0.2857142857142857,0.1619841966637401,yes,no,no,yes
AA,JFK,LAX,0.46518518518518515,0.4884764429940852,0.14814814814814808,0.14666666666666667,0.1428571428571428,0.27777777777777773,0.0024937655860349,0.0227272727272727,0.0,0.08653846153846151,0.8077260755048288,yes,yes,no,yes
B6,JFK,BOS,0.0422222222222222,0.0218233734448296,0.8148148148148148,0.8133333333333334,0.8181818181818182,0.4847494553376906,0.0623441396508728,0.0,0.0,0.5206043956043956,0.4429323968393327,yes,no,no,yes
DL,JFK,LAX,0.43481481481481477,0.4653273506016724,0.6419753086419753,0.6333333333333334,0.6396103896103897,0.6198257080610021,0.00872817955112215,0.0,0.0,0.8076923076923077,0.13827919227392443,yes,no,no,yes
UA,EWR,PBI,0.19481481481481475,0.18967978788496836,0.1975308641975308,0.2133333333333333,0.2012987012987013,0.3115468409586056,0.0,0.0,0.0,0.9862637362637364,0.41571553994732224,yes,yes,no,yes
MQ,LGA,DTW,0.1622222222222222,0.16540893330613898,0.6172839506172839,0.5666666666666667,0.5941558441558442,0.5904139433551198,0.0536159600997506,0.0,0.0,0.2815934065934066,0.0658472344161545,yes,no,no,yes
B6,LGA,MCO,0.15629629629629627,0.1774423822149704,0.9320987654320987,0.86,0.9025974025974026,0.6002178649237473,0.00124688279301745,0.0,0.0,0.47939560439560436,0.8428446005267778,yes,no,no,yes
EV,EWR,DCA,0.04592592592592585,0.0411992657556598,0.5617283950617283,0.44000000000000006,0.5032467532467533,0.39869281045751626,0.0,0.0,0.0,0.2967032967032967,0.8248463564530288,no,no,no,yes
UA,EWR,TPA,0.1881481481481481,0.18967978788496836,0.6419753086419753,0.72,0.6818181818181819,0.3442265795206971,0.2468827930174563,0.0,0.0,0.4395604395604396,0.7265144863915715,yes,no,no,yes
MQ,LGA,ATL,0.1333333333333333,0.1390985111156434,0.5432098765432098,0.5066666666666667,0.525974025974026,0.41503267973856206,0.0,0.0,0.0,0.30219780219780223,0.3182616330114135,no,no,no,yes
DL,JFK,LAS,0.4177777777777777,0.4623699775647562,0.7037037037037037,0.6866666666666668,0.698051948051948,0.5893246187363834,0.0336658354114713,0.0,0.0,0.7637362637362638,0.7309043020193151,yes,no,no,yes
AA,JFK,SFO,0.5007407407407407,0.5111156434835815,0.845679012345679,0.8066666666666666,0.8311688311688312,0.5185185185185185,0.0,0.0,0.0,0.49862637362637363,0.553116769095698,yes,no,no,yes
UA,JFK,LAX,0.46518518518518515,0.4884764429940852,0.308641975308642,0.3066666666666667,0.3051948051948052,0.522875816993464,0.114713216957606,0.0,0.4,0.1126373626373626,0.7769973661106233,yes,no,yes,yes
UA,EWR,MCO,0.16148148148148145,0.1747909443198042,0.8333333333333333,0.8333333333333334,0.8376623376623377,0.4836601307189542,0.0,0.0,0.0,0.4917582417582418,0.1352063213345039,yes,no,no,yes
MQ,JFK,DCA,0.04370370370370365,0.0271262492351621,0.1481481481481481,0.1866666666666666,0.16233766233766228,0.3050108932461873,0.0049875311720698,0.053030303030303004,0.05,0.09340659340659335,0.5926251097453907,yes,yes,yes,yes
EV,EWR,DAY,0.10370370370370366,0.08341831531715276,0.18518518518518515,0.1733333333333333,0.1753246753246753,0.27886710239651413,0.0,0.0,0.0,0.12087912087912087,0.1773485513608428,no,no,no,yes
EV,EWR,RIC,0.0496296296296296,0.0401794819498266,0.19135802469135793,0.11999999999999995,0.15259740259740256,0.27995642701525053,0.0,0.0,0.0,0.037087912087912046,0.4253731343283582,no,no,no,yes
DL,LGA,MIA,0.19555555555555554,0.19946971242096667,0.8148148148148147,0.8,0.8116883116883118,0.5359477124183006,0.3167082294264339,0.0,0.0,0.6978021978021979,0.5684811237928007,yes,no,no,yes
B6,JFK,RDU,0.08370370370370366,0.0579237201713236,0.5061728395061729,0.3333333333333333,0.4220779220779221,0.5141612200435729,0.3516209476309226,0.0,0.0,0.9065934065934068,0.11194029850746265,yes,no,no,yes
B6,JFK,FLL,0.1918518518518518,0.2017132367937996,0.2530864197530864,0.22,0.23376623376623373,0.20915032679738554,0.0,0.0,0.0,0.9120879120879122,0.5127304653204565,no,no,no,yes
UA,EWR,BOS,0.0281481481481481,0.0244748113399959,0.537037037037037,0.49999999999999994,0.5194805194805195,0.312636165577342,0.0,0.0,0.0,0.3392857142857143,0.7085162423178226,no,no,no,yes
EV,EWR,DTW,0.1266666666666666,0.10972873750764835,0.3333333333333332,0.28,0.3051948051948052,0.1546840958605664,0.0,0.0,0.0,0.8434065934065935,0.6633011413520632,no,no,no,yes
DL,JFK,LAS,0.3851851851851852,0.37477054864368753,0.2592592592592593,0.2133333333333333,0.2337662337662338,0.3856209150326797,0.0,0.0,0.0,0.0,0.7502194907813872,no,no,no,yes
EV,EWR,MEM,0.1629629629629629,0.1766265551703038,0.5679012345679012,0.6000000000000001,0.5844155844155845,0.4531590413943355,0.0,0.0,0.0,0.7829670329670331,0.5583845478489903,no,no,no,yes
9E,JFK,MSP,0.177037037037037,0.2091576585763818,0.7222222222222221,0.66,0.6948051948051949,0.3180827886710239,0.0,0.0,0.0,0.6538461538461539,0.16417910447761191,no,no,no,yes
EV,EWR,OKC,0.19851851851851848,0.22251682643279624,0.4753086419753086,0.4666666666666667,0.4707792207792208,0.20261437908496727,0.0,0.0,0.0,0.3516483516483516,0.7664618086040386,no,no,no,yes
B6,LGA,MCO,0.1933333333333333,0.18611054456455225,0.419753086419753,0.3466666666666667,0.3831168831168831,0.6470588235294117,0.0074812967581047,0.0,0.0,0.0796703296703296,0.5654082528533801,yes,no,no,yes
DL,JFK,SLC,0.34814814814814815,0.3895574138282683,0.7407407407407407,0.7466666666666667,0.7467532467532468,0.39869281045751626,0.00374064837905235,0.0,0.0,0.4835164835164836,0.768217734855136,yes,no,no,yes
EV,EWR,CMH,0.08370370370370364,0.0781154395268203,0.2469135802469136,0.2,0.22077922077922074,0.2962962962962963,0.0,0.0,0.0,0.1552197802197802,0.6817383669885865,yes,yes,no,yes
EV,LGA,RIC,0.057037037037037,0.05619008770140725,0.9876543209876544,0.96,0.9805194805194806,0.6579520697167756,0.0,0.0,0.0,0.543956043956044,0.8028972783143108,no,no,no,yes
US,LGA,BOS,0.029629629629629547,0.0212115031613298,0.8641975308641975,0.8466666666666667,0.8603896103896104,0.46623093681917205,0.0473815461346633,0.0,0.0,0.5810439560439561,0.7901668129938542,yes,no,no,yes
WN,EWR,HOU,0.23703703703703705,0.271466449112788,0.7469135802469136,0.7866666666666667,0.7694805194805195,0.3834422657952069,0.0,0.0,0.0,0.6291208791208792,0.636523266022827,yes,no,no,yes
MQ,LGA,RDU,0.074074074074074,0.071588823169488,0.654320987654321,0.6733333333333335,0.6655844155844156,0.508714596949891,0.04114713216957605,0.0,0.0,0.7719780219780221,0.5992098331870062,yes,no,no,yes
EV,EWR,IAD,0.05629629629629625,0.0269222924739955,0.8271604938271604,0.86,0.8474025974025974,0.4607843137254901,0.02618453865336655,0.0,0.0,0.5398351648351649,0.5136084284460052,yes,no,no,yes
FL,LGA,CAK,0.06740740740740735,0.0646542932898225,0.2222222222222222,0.22,0.21753246753246752,0.21895424836601302,0.0,0.0,0.0,0.17994505494505497,0.8143107989464442,no,no,no,yes
UA,LGA,ORD,0.1325925925925926,0.1331837650418111,0.7345679012345678,0.7200000000000001,0.7305194805194806,0.5010893246187363,0.18578553615960094,0.0,0.0,0.4052197802197802,0.6848112379280071,yes,no,no,yes
UA,EWR,ATL,0.16296296296296295,0.1525596573526412,0.1234567901234567,0.16,0.1363636363636363,0.1568627450980392,0.0448877805486284,0.303030303030303,0.2,0.9615384615384616,0.14354697102721686,yes,yes,yes,yes
EV,EWR,BNA,0.1318518518518518,0.11197226188048132,0.4691358024691358,0.4933333333333333,0.4805194805194805,0.5773420479302831,0.0074812967581047,0.0,0.0,0.8928571428571429,0.2199297629499561,yes,no,no,yes
UA,EWR,PHX,0.4333333333333333,0.46277789108708955,0.3580246913580247,0.4133333333333334,0.3831168831168831,0.2549019607843137,0.1720698254364089,0.0,0.0,0.2774725274725275,0.6483757682177349,yes,no,no,yes
9E,LGA,DAY,0.0955555555555555,0.0956557209871507,0.7716049382716049,0.76,0.7694805194805195,0.40305010893246185,0.02493765586034905,0.0,0.0,0.47115384615384615,0.7348551360842845,yes,no,no,yes
EV,EWR,CVG,0.10222222222222216,0.0997348562104833,0.9938271604938271,0.9266666666666667,0.9675324675324677,0.6601307189542482,0.0,0.0,0.0,0.5453296703296704,0.6101843722563652,no,no,no,yes
EV,LGA,BTV,0.0318518518518518,0.0272282276157454,0.7592592592592593,0.7533333333333334,0.7597402597402598,0.31481481481481477,0.0,0.0,0.0,0.6112637362637363,0.45434591747146624,no,no,no,yes
WN,LGA,MDW,0.12666666666666665,0.13287782990006114,0.6790123456790123,0.5866666666666667,0.6363636363636365,0.2222222222222222,0.0623441396508728,0.0,0.0,0.4505494505494506,0.7901668129938543,yes,no,no,yes
UA,EWR,SFO,0.4837037037037037,0.5068325514990822,0.5432098765432098,0.4933333333333333,0.5194805194805195,0.43572984749455335,0.0,0.0,0.0,0.2939560439560439,0.5509218612818262,yes,no,no,yes
EV,EWR,STL,0.1703703703703703,0.161533754843973,0.8765432098765431,0.82,0.8538961038961039,0.5021786492374727,0.01496259351620945,0.0,0.0,0.5027472527472527,0.5250219490781387,yes,no,no,yes
UA,EWR,ORD,0.14074074074074075,0.1525596573526412,0.4691358024691358,0.4666666666666667,0.4675324675324675,0.0980392156862745,0.0224438902743142,0.0,0.0,0.3956043956043956,0.5702370500438982,yes,no,no,yes
EV,EWR,ATL,0.15111111111111108,0.14480930042830914,0.4074074074074074,0.3333333333333333,0.3701298701298701,0.3747276688453159,0.0,0.0,0.0,0.2307692307692308,0.6136962247585601,yes,no,no,yes
EV,EWR,CLT,0.1066666666666666,0.091576585763818,0.882716049382716,0.8133333333333334,0.8538961038961039,0.522875816993464,0.01496259351620945,0.0,0.0,0.4848901098901099,0.5258999122036874,yes,no,no,yes
B6,JFK,ORD,0.14148148148148146,0.1346114623699775,0.8333333333333334,0.7933333333333333,0.8181818181818182,0.5239651416122004,0.01246882793017455,0.0,0.0,0.4807692307692308,0.7945566286215979,yes,no,no,yes
EV,LGA,CLE,0.0629629629629629,0.049765449724658295,0.3209876543209876,0.3066666666666667,0.3116883116883117,0.494553376906318,0.1296758104738154,0.0,0.5,0.1126373626373626,0.7664618086040386,yes,no,yes,yes
MQ,LGA,CLE,0.15407407407407403,0.1287986946767285,0.1975308641975308,0.24,0.2142857142857143,0.1612200435729847,0.1396508728179551,0.4393939393939394,0.0,0.2087912087912088,0.20632133450395074,yes,yes,no,yes
DL,LGA,TPA,0.1918518518518518,0.1896797878849683,0.7160493827160493,0.8266666666666667,0.7727272727272727,0.3485838779956426,0.1820448877805486,0.0,0.0,0.4972527472527472,0.5750658472344161,yes,no,no,yes
WN,EWR,STL,0.28888888888888886,0.24658372425045885,0.5185185185185185,0.3466666666666667,0.4350649350649351,0.5925925925925926,0.199501246882793,0.0,0.0,0.9313186813186816,0.6518876207199298,yes,no,no,yes
DL,LGA,ATL,0.1496296296296296,0.17315929023047105,0.4444444444444444,0.4666666666666667,0.4545454545454545,0.0631808278867102,0.0149625935162094,0.0,0.0,0.3956043956043956,0.35820895522388063,yes,no,no,yes
AA,LGA,ORD,0.14888888888888885,0.1331837650418111,0.3641975308641975,0.35333333333333333,0.3571428571428571,0.5108932461873638,0.0,0.0,0.1,0.14972527472527464,0.21729587357330996,no,no,yes,yes
WN,EWR,BNA,0.1288888888888888,0.1362431164593106,0.7592592592592592,0.6800000000000002,0.7240259740259741,0.3082788671023965,0.0,0.0,0.0,0.6359890109890111,0.1093064091308165,no,no,no,yes
MQ,EWR,ORD,0.13555555555555554,0.1303283703854782,0.4629629629629629,0.4666666666666667,0.4642857142857143,0.2690631808278866,0.0,0.0,0.0,0.32005494505494503,0.8384547848990342,no,no,no,yes
AA,LGA,ORD,0.13851851851851849,0.1331837650418111,0.7654320987654322,0.8,0.7857142857142858,0.3464052287581698,0.027431421446384004,0.0,0.0,0.5920329670329672,0.20632133450395085,yes,no,no,yes
EV,EWR,OMA,0.20074074074074075,0.2149704262696308,0.6728395061728395,0.6400000000000001,0.6590909090909091,0.5435729847494553,0.0386533665835411,0.0,0.0,0.7719780219780221,0.2906057945566286,yes,no,no,yes
MQ,LGA,ATL,0.1518518518518518,0.13930246787681005,0.419753086419753,0.3866666666666666,0.4025974025974027,0.5185185185185185,0.0,0.0,0.0,0.1895604395604395,0.7194907813871817,no,no,no,yes
DL,JFK,SEA,0.4385185185185185,0.4776667346522537,0.7407407407407407,0.78,0.7629870129870131,0.3899782135076252,0.0,0.0,0.0,0.5453296703296704,0.2831431079894644,yes,no,no,yes
EV,EWR,IND,0.18148148148148147,0.1625535386498062,0.2716049382716049,0.24,0.2532467532467533,0.4444444444444444,0.0,0.0,0.0,0.0989010989010989,0.20280948200175591,yes,yes,yes,yes
EV,LGA,CLT,0.09629629629629624,0.0946359371813175,0.8765432098765431,0.8533333333333333,0.8701298701298701,0.4880174291938997,0.0,0.0,0.0,0.5164835164835165,0.5829675153643548,no,no,no,yes
EV,EWR,ORD,0.1274074074074074,0.12104833775239646,0.3333333333333332,0.32,0.3246753246753247,0.3485838779956426,0.0723192019950124,0.0,0.1,0.2115384615384615,0.2831431079894644,yes,yes,yes,yes
AA,JFK,LAX,0.47851851851851845,0.4884764429940852,0.2222222222222222,0.1866666666666667,0.2012987012987013,0.2636165577342048,0.0,0.0,0.0,0.9642857142857144,0.3551360842844601,no,no,no,yes
AA,JFK,LAX,0.39481481481481473,0.4884764429940852,0.7345679012345678,0.78,0.7597402597402598,0.38235294117647056,0.0336658354114713,0.0,0.0,0.5096153846153846,0.7506584723441616,yes,no,no,yes
EV,EWR,PVD,0.02518518518518515,0.0250866816234958,0.7407407407407407,0.6466666666666667,0.698051948051948,0.3540305010893246,0.0,0.0,0.0,0.4464285714285714,0.3472344161545215,no,no,no,yes
UA,EWR,SEA,0.42,0.42830919844992854,0.14197530864197525,0.1,0.11688311688311681,0.09912854030501085,0.0,0.0,0.0,0.9491758241758244,0.7243195785776998,no,no,no,yes
DL,EWR,ATL,0.15999999999999998,0.1358352029369773,0.7592592592592593,0.6733333333333335,0.7207792207792207,0.5610021786492374,0.0,0.0,0.0,0.3791208791208791,0.5267778753292361,yes,no,no,yes
B6,JFK,SYR,0.03481481481481475,0.0263104221904956,0.3950617283950617,0.33333333333333337,0.3636363636363636,0.38779956427015244,0.0,0.0,0.0,0.8956043956043958,0.23968393327480245,no,no,no,yes
B6,JFK,BUF,0.08222222222222214,0.05792372017132365,0.3333333333333332,0.2933333333333333,0.3116883116883117,0.4335511982570805,0.2044887780548628,0.0,0.0,0.956043956043956,0.21817383669885865,yes,no,no,yes
EV,EWR,TYS,0.1155555555555555,0.1123801754028146,0.8271604938271605,0.7733333333333333,0.8051948051948052,0.6437908496732025,0.20573566084788025,0.0,0.0,0.40384615384615385,0.7660228270412642,yes,no,no,yes
EV,EWR,OMA,0.25111111111111106,0.2149704262696308,0.1790123456790123,0.1733333333333333,0.17207792207792205,0.2984749455337691,0.0,0.0,0.0,0.05219780219780215,0.7480245829675154,no,no,no,yes
VX,JFK,SFO,0.5133333333333332,0.5111156434835815,0.2716049382716049,0.2266666666666667,0.24675324675324675,0.25708061002178645,0.0,0.0,0.0,0.9258241758241759,0.2919227392449517,no,no,no,yes
WN,EWR,MDW,0.14,0.1286967162961452,0.2345679012345679,0.17333333333333328,0.2012987012987013,0.1427015250544662,0.0,0.0,0.0,0.9065934065934067,0.6892010535557507,no,no,no,yes
MQ,JFK,RDU,0.0629629629629629,0.048949622679991804,0.40740740740740733,0.4133333333333334,0.4090909090909091,0.3736383442265795,0.0,0.0,0.0,0.8585164835164836,0.1536435469710272,no,no,no,yes
B6,JFK,ABQ,0.3340740740740741,0.3561085049969406,0.6234567901234568,0.6066666666666668,0.6168831168831169,0.5,0.0486284289276808,0.0,0.0,0.35576923076923084,0.791044776119403,yes,no,no,yes
